Category: All categories

Region,Mike Trout: (1/1/04 - 3/22/22)
New Jersey,100
California,84
Pennsylvania,73
Delaware,60
Missouri,55
Illinois,55
New York,52
Massachusetts,50
Connecticut,49
Arizona,46
Washington,45
Minnesota,44
Nevada,43
Michigan,43
Wisconsin,42
Ohio,41
Rhode Island,41
Hawaii,40
Maryland,40
Iowa,40
North Dakota,39
Texas,38
Utah,37
New Hampshire,37
Nebraska,36
Maine,36
Indiana,36
Georgia,36
South Dakota,35
North Carolina,35
District of Columbia,34
Florida,34
Montana,33
Arkansas,33
Virginia,33
Kansas,32
Vermont,32
Idaho,32
Mississippi,31
Alabama,31
West Virginia,30
Colorado,30
Tennessee,28
South Carolina,27
Wyoming,27
Oklahoma,27
Louisiana,27
Kentucky,27
New Mexico,25
Oregon,23
Alaska,19
