Month,Score
2004-01,1
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,1
2004-07,0
2004-08,1
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,1
2009-06,1
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,1
2010-07,1
2010-08,1
2010-09,0
2010-10,1
2010-11,0
2010-12,0
2011-01,1
2011-02,1
2011-03,1
2011-04,2
2011-05,2
2011-06,3
2011-07,9
2011-08,3
2011-09,2
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,2
2012-04,6
2012-05,7
2012-06,19
2012-07,39
2012-08,29
2012-09,21
2012-10,16
2012-11,10
2012-12,7
2013-01,6
2013-02,12
2013-03,14
2013-04,21
2013-05,18
2013-06,13
2013-07,20
2013-08,19
2013-09,10
2013-10,6
2013-11,5
2013-12,7
2014-01,6
2014-02,11
2014-03,17
2014-04,25
2014-05,19
2014-06,22
2014-07,33
2014-08,24
2014-09,15
2014-10,11
2014-11,10
2014-12,6
2015-01,6
2015-02,7
2015-03,9
2015-04,18
2015-05,19
2015-06,17
2015-07,38
2015-08,22
2015-09,18
2015-10,11
2015-11,7
2015-12,6
2016-01,6
2016-02,8
2016-03,10
2016-04,20
2016-05,20
2016-06,15
2016-07,20
2016-08,14
2016-09,15
2016-10,9
2016-11,14
2016-12,7
2017-01,13
2017-02,8
2017-03,10
2017-04,21
2017-05,28
2017-06,16
2017-07,18
2017-08,21
2017-09,11
2017-10,10
2017-11,6
2017-12,8
2018-01,8
2018-02,10
2018-03,10
2018-04,20
2018-05,24
2018-06,27
2018-07,34
2018-08,25
2018-09,15
2018-10,8
2018-11,9
2018-12,9
2019-01,9
2019-02,17
2019-03,100
2019-04,39
2019-05,23
2019-06,28
2019-07,39
2019-08,31
2019-09,23
2019-10,12
2019-11,11
2019-12,11
2020-01,13
2020-02,13
2020-03,16
2020-04,10
2020-05,11
2020-06,10
2020-07,22
2020-08,27
2020-09,17
2020-10,12
2020-11,6
2020-12,7
2021-01,8
2021-02,13
2021-03,12
2021-04,25
2021-05,26
2021-06,19
2021-07,25
2021-08,22
2021-09,12
2021-10,9
2021-11,7
2021-12,6
2022-01,7
2022-02,8
2022-03,11
